processid,sampleid,recordID,catalognum,fieldnum,institution_storing,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,species_name,subspecies_taxID,subspecies_name,identification_provided_by,voucher_type,tissue_type,collectors,collectiondate,lifestage,sex,reproduction,extrainfo,notes,lat,lon,coord_source,coord_accuracy,country,province,region,exactsite
GBITS23383-21,KX372827,13492151, ,KX372827,"Mined from GenBank, NCBI", ,12,Magnoliophyta,41,Magnoliopsida,187,Fabales,891,Fabaceae, , ,428782,Stuhlmannia,428783,Stuhlmannia moavi, , , , , , , , , , , ,Robertson 7509 (K), , , , ,Kenya, , , 
GBVA5450-21,EF092851,13682659, ,EF092851,"Mined from GenBank, NCBI", ,12,Magnoliophyta,44,Liliopsida,124958,Commelinales,148688,Commelinaceae, , ,162193,Commelina,1123601,Commelina eckloniana,1123602,Commelina eckloniana subsp. nairobiensis, , , , , , , , , , ,0.689918,37.9531,Coordinates from country centroid, ,Kenya, , , 
GBVO2390-11,AF203602,2307402,Faden 74958 (MO),AF203602,"Mined from GenBank, NCBI", ,12,Magnoliophyta,41,Magnoliopsida,187,Fabales,891,Fabaceae, , ,205111,Ormocarpum,428137,Ormocarpum keniense, , , , , , , , , , , ,"Ormocarpum keniense from Kenya maturase (matK) gene, partial cds: chloroplast gene for chloroplast product.|Eukaryota:Viridiplantae:Streptophyta:Embryophyta:Tracheophyta:Spermatophyta:Magnoliophyta:eudicotyledons:core eudicotyledons:rosids:fabids:Fabales:Fabaceae:Papilionoideae:Dalbergieae:Ormocarpum:Ormocarpum keniense:|Kenya",0.689918,37.9531,Coordinates from country centroid, ,Kenya, , , 
GBVU3210-13,JQ768700,3713031,WAG:7544,JQ768700,"Mined from GenBank, NCBI", ,12,Magnoliophyta,41,Magnoliopsida,183,Magnoliales,1090,Annonaceae, , ,252734,Monanthotaxis,349078,Monanthotaxis buchananii, , , , , , , , , , ,taxon:1202420, ,0.689918,37.9531,Coordinates from country centroid, ,Kenya, , , 
GBVW800-13,JX177512,3715621,K143,JX177512,"Mined from GenBank, NCBI", ,12,Magnoliophyta,44,Liliopsida,148675,Dioscoreales,126475,Dioscoreaceae, , ,126476,Dioscorea,556968,Dioscorea sp. K143, , , , , , , , , , ,taxon:1227017, ,0.689918,37.9531,Coordinates from country centroid, ,Kenya, , , 
KPLA125-11,KK 031,1983622, ,KK 031,National Museums of Kenya, ,12,Magnoliophyta,41,Magnoliopsida,44316,Sapindales,148562,Rutaceae, , ,368291,Toddalia,368292,Toddalia asiatica, , ,Daniel Miyawa, , , ,18/10/2010, , , , ,Other Identifiers: Paul Kirika And Keneddy Wambua, , , , ,Kenya,Western,Kakamega, 
KPLA167-11,KK 073,1983664, ,KK 073,National Museums of Kenya, ,12,Magnoliophyta,41,Magnoliopsida,121244,Ericales,148758,Sapotaceae, , ,148768,Chrysophyllum,252357,Chrysophyllum albidum, , ,Daniel Miyawa, , , ,19/10/2010, , , , ,Other Identifiers: Paul Kirika And Keneddy Wambua, , , , ,Kenya,Western,Kakamega, 
KPLA197-11,KK 103,1983694, ,KK 103,National Museums of Kenya, ,12,Magnoliophyta,44,Liliopsida,122203,Asparagales,124684,Orchidaceae, , ,305310,Ansellia,305311,Ansellia africana, , ,Daniel Miyawa, , , ,19/10/2010, , , , ,Other Identifiers: Paul Kirika And Keneddy Wambua, , , , ,Kenya,Western,Kakamega, 
KPLA250-11,KK 156,1983747, ,KK 156,National Museums of Kenya, ,12,Magnoliophyta,41,Magnoliopsida,44316,Sapindales,148562,Rutaceae,514693,Rutoideae,148563,Zanthoxylum,373627,Zanthoxylum rubescens, , ,Daniel Miyawa, , , ,20/10/2010, , , , ,Other Identifiers: Paul Kirika And Keneddy Wambua, , , , ,Kenya,Western,Kakamega, 
UHURU081-14,A11_K1207_Euphorbia_crotonoides,4110457,Euphorbia_crotonoides_151967797,151967797,"Smithsonian Institution, National Museum of Natural History, United States National Herbarium", ,12,Magnoliophyta,41,Magnoliopsida,42562,Malpighiales,121224,Euphorbiaceae,591667,Euphorbioideae,121225,Euphorbia,591062,Euphorbia crotonoides, , ,N. Mwadime, , ,Elyse DeFranco,19/07/2012, , , ,EAD_12_011, ,0.42,36.912, , ,Kenya,Rift Valley,Laikipia,Mpala Research Centre
